File Name,REGION,INSTITUTION,MALE,FEMALE,TOTAL,Black #,Black %,White #,White %,Latinx #,Latinx %,American Indian #,American Indian %,Asian #,Asian %,Unknown #,Unknown %,TOTAL,Validation Link
Inmate Characteristics Report FY 2019 Q4.pdf,MCIJ,742,,. 742,550,74.1%,177,23.9%,2,.3%,.,. 13,1.8%,742,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,MCIW,.,704,704,335,47.6%,350,49.7%,4,.6%,4 .6%,11,1.6%,704,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=14&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,MRDCC,323,,. 323,253,78.3%,64,19.8%,1,.3%,1 .3%,,4 1.2%,323,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=15&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,SMPRU,176,,. 176,149,84.7%,22,12.5%,.,.,2 1.1%,,3 1.7%,176,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=16&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,TOTAL,8383,704,9087,6580,72.4%,2365,26.0%,28,.3%,25 .3%,89,1.0%,9087,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=17&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,PATX PATX-M PATX-F TOTAL DPDS BCBIC MTC YDC TOTAL,903 . 903 71 69 19 159,46 46 10 10,. 903 46 949 81 . 69 . 19 169,640 18 658 61 56 17 134,70.9% 39.1% 69.3% 75.3% 81.2% 89.5% 79.3%,242 28 270 16 12 1 29,26.8% 60.9% 28.5% 19.8% 17.4% 5.3% 17.2%,5 . 5 . . . .,.6% . .5% . . . .,7 .8% . 7 .7% 1 1.2% . 1 5.3% 2 1.2%,. .,9 1.0% . . 9 .9% 3 3.7% 1 1.4% . . 4 2.4%,903 46 949 81 69 19 169,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=18&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,OTHER CHDU THRESH TOTAL GRAND TOTAL,134 31 165 17478,766,6 140 . 31 6 171 18244,109 26 135 13035,77.9% 83.9% 78.9% 71.4%,30 5 35 4931,21.4% 16.1% 20.5% 27.0%,. . . 48,. . . .3%,. . . 67 .4%,. . . 163,1 .7% . . 1 .6% .9%,140 31 171 18244,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=19&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,WEST MCIH,626,,. 626,331,52.9%,272,43.5%,2,.3%,2 .3%,19,3.0%,626,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,MCTC,2927,,. 2927,1940,66.3%,949,32.4%,8,.3%,14 .5%,16,.5%,2927,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,NBCI,1213,,. 1213,1005,82.9%,198,16.3%,1,.1%,4 .3%,,5 .4%,1213,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,RCI,1745,,. 1745,1290,73.9%,432,24.8%,3,.2%,7 .4%,13,.7%,1745,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,WCI,1507,,. 1507,1088,72.2%,396,26.3%,3,.2%,10 .7%,10,.7%,1507,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,TOTAL,8018,,. 8018,5654,70.5%,2247,28.0%,17,.2%,37 .5%,63,.8%,8018,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,EAST BCCC BCF CMCF DRCF ECI-A,474 59 492 1015 584,,. 474 . 59 . 492 . 1015 . 584,415 46 367 801 409,87.6% 78.0% 74.6% 78.9% 70.0%,57 13 120 208 169,12.0% 22.0% 24.4% 20.5% 28.9%,. . 2 . 3,. . .4% . .5%,. . . 1 .1% .,. 2 . . .,.4% . . 3 .6% 5 .5% 3 .5%,474 59 492 1015 584,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,ECI-E ECI-W EPRU JCI MCIJ,1406 1370 146 1507 743,,. 1406 . 1370 . 146 . 1507 . 743,907 987 105 1203 544,64.5% 72.0% 71.9% 79.8% 73.2%,465 366 39 287 181,33.1% 26.7% 26.7% 19.0% 24.4%,4 3 1 5 5,.3% .2% .7% .3% .7%,3 .2% 4 .3% 1 .7% 6 .4% .,27 10 . 13,1.9% .7% . . 6 .4% 1.7%,1406 1370 146 1507 743,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,MCIW,.,701,701,350,49.9%,332,47.4%,5,.7%,3 .4%,11,1.6%,701,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,MRDCC,251,,. 251,206,82.1%,44,17.5%,1,.4%,.,.,. .,251,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,SMPRU,150,,. 150,120,80.0%,26,17.3%,.,.,2 1.3%,2,1.3%,150,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,TOTAL,8197,701,8898,6460,72.6%,2307,25.9%,29,.3%,20 .2%,82,.9%,8898,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,PATX PATX-M PATX-F TOTAL DPDS BCBIC MTC YDC TOTAL OTHER CHDU THRESH,896 . 896 78 51 16 145 159 28,44 44 11 11,. 896 44 940 89 . 51 . 16 156 3 162 . 28,650 18 668 74 32 14 120 133 21,72.5% 40.9% 71.1% 83.1% 62.7% 87.5% 76.9% 82.1% 75.0%,230 26 256 11 16 1 28 26 6,25.7% 59.1% 27.2% 12.4% 31.4% 6.3% 17.9% 16.0% 21.4%,3 . 3 1 . . 1 . .,.3% . .3% 1.1% . . .6% . .,7 .8% . 7 .7% . . 1 6.3% 1 .6% 1 .6% .,. . . .,6 .7% . . 6 .6% 3 3.4% 3 5.9% . . 6 3.8% 2 1.2% 1 3.6%,896 44 940 89 51 16 156 162 28,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=12&page=0
Inmate Characteristics Report FY 2020 Q1.pdf,TOTAL GRAND TOTAL,187 17443,759,3 190 18202,154 13056,81.1% 71.7%,32 4870,16.8% 26.8%,. 50,. .3%,1 .5% 66 .4%,160,3 1.6% .9%,190 18202,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=ae53f075e5836d06_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,WEST,MCIH,,719,.,719,400,55.6%,289,40.2%,1,.1%,6,.8%,23,3.2%,719,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,MCTC,,2862,.,2862,1905,66.6%,921,32.2%,7,.2%,14,.5%,15,.5%,2862,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,NBCI,,1255,.,1255,1030,82.1%,216,17.2%,1,.1%,3,.2%,5,.4%,1255,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,RCI,,1743,.,1743,1288,73.9%,428,24.6%,6,.3%,6,.3%,15,.9%,1743,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,WCI,,1653,.,1653,1205,72.9%,421,25.5%,3,.2%,10,.6%,14,.8%,1653,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,TOTAL,,8232,.,8232,5828,70.8%,2275,27.6%,18,.2%,39,.5%,72,.9%,8232,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,EAST,BCCC CMCF,,392 446,. .,392 446,333 317,84.9% 71.1%,57 123,14.5% 27.6%,1 1,.3% .2%,. 3,. .7%,1 2,.3% .4%,392 446,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,DRCF,,912,.,912,710,77.9%,194,21.3%,.,.,2,.2%,6,.7%,912,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,ECI-A,,511,.,511,378,74.0%,126,24.7%,3,.6%,2,.4%,2,.4%,511,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,ECI-E,,1394,.,1394,909,65.2%,456,32.7%,2,.1%,5,.4%,22,1.6%,1394,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,ECI-W,,1351,.,1351,985,72.9%,348,25.8%,4,.3%,3,.2%,11,.8%,1351,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,EPRU,,119,.,119,90,75.6%,28,23.5%,.,.,.,.,1,.8%,119,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,JCI,,1494,.,1494,1175,78.6%,301,20.1%,4,.3%,6,.4%,8,.5%,1494,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=12&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,MCIJ,,718,.,718,540,75.2%,163,22.7%,3,.4%,.,.,12,1.7%,718,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,MCIW,,.,634,634,331,52.2%,287,45.3%,3,.5%,2,.3%,11,1.7%,634,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=14&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,MRDCC,,365,.,365,295,80.8%,64,17.5%,1,.3%,1,.3%,4,1.1%,365,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=15&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,,SMPRU,,108,.,108,94,87.0%,11,10.2%,.,.,1,.9%,2,1.9%,108,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=16&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,PATX,TOTAL PATX-M PATX-F TOTAL,,7810 821 . 821,634 . 42 42,8444 821 42 863,6157 603 19 622,72.9% 73.4% 45.2% 72.1%,2158 202 23 225,25.6% 24.6% 54.8% 26.1%,22 4 . 4,.3% .5% . .5%,25 6 . 6,.3% .7% . .7%,82 6 . 6,1.0% .7% . .7%,8444 821 42 863,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=17&page=0
Inmate Characteristics Report FY 2020 Q3.pdf,DPDS OTHER GRAND,BCBIC MTC YDC TOTAL CHDU THRESH TOTAL TOTAL,,57 72 19 148 165 24 189 17200,1 . . 1 6 . 6 683,58 72 19 149 171 24 195 17883,46 52 16 114 139 23 162 12883,79.3% 72.2% 84.2% 76.5% 81.3% 95.8% 83.1% 72.0%,11 17 1 29 27 1 28 4715,19.0% 23.6% 5.3% 19.5% 15.8% 4.2% 14.4% 26.4%,. 1 1 2 1 . 1 47,. 1.4% 5.3% 1.3% .6% . .5% .3%,. . 1 1 1 . 1 72,. . 5.3% .7% .6% . .5% .4%,1 2 . 3 3 . 3 166,1.7% 2.8% . 2.0% 1.8% . 1.5% .9%,58 72 19 149 171 24 195 17883,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=750a914faacaa502_3abff4f8a2b47ed6&schid=8018&row=18&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,WEST,MCIH MCTC,739 2672,. .,2672,739,418 1793,56.6% 67.1%,290 843,39.2% 31.5%,1 7,.1% .3%,15,7,.9% .6%,23 14,3.1% .5%,739 2672,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,NBCI,1276,.,1276,,1031,80.8%,235,18.4%,2,.2%,,3,.2%,5,.4%,1276,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,RCI,1670,.,1670,,1234,73.9%,409,24.5%,6,.4%,,5,.3%,16,1.0%,1670,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,WCI,1614,.,1614,,1179,73.0%,408,25.3%,3,.2%,10,,.6%,14,.9%,1614,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,EAST,TOTAL BCCC CMCF,7971 242 290,. . .,7971,242 290,5655 213 199,70.9% 88.0% 68.6%,2185 29 86,27.4% 12.0% 29.7%,19 . 1,.2% . .3%,40,. 3 1.0%,.5% .,72 . 1,.9% . .3%,7971 242 290,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,DRCF,669,.,,669,523,78.2%,141,21.1%,.,.,2,,.3%,3,.4%,669,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,ECI-A,384,.,,384,291,75.8%,88,22.9%,2,.5%,,.,.,3,.8%,384,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,ECI-E,1389,.,1389,,919,66.2%,444,32.0%,2,.1%,,4,.3%,20,1.4%,1389,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,ECI-W,1230,.,1230,,903,73.4%,311,25.3%,3,.2%,,3,.2%,10,.8%,1230,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,EPRU,65,.,,65,46,70.8%,16,24.6%,.,.,,.,.,3,4.6%,65,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,JCI,1421,.,1421,,1117,78.6%,288,20.3%,3,.2%,,6,.4%,7,.5%,1421,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,MCIJ,691,.,,691,526,76.1%,152,22.0%,3,.4%,,.,.,10,1.4%,691,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,MCIW,.,564,,564,295,52.3%,255,45.2%,3,.5%,2,,.4%,9,1.6%,564,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=12&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,MRDCC SMPRU,410 56,. .,,410 56,319 51,77.8% 91.1%,86 5,21.0% 8.9%,3 .,.7% .,,. .,. .,2 .,.5% .,410 56,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,PATX,TOTAL PATX-M,6847 753,564 .,7411,753,5402 555,72.9% 73.7%,1901 183,25.7% 24.3%,20 4,.3% .5%,20,5,.3% .7%,68 6,.9% .8%,7411 753,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=14&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,TOTAL,753,.,,753,555,73.7%,183,24.3%,4,.5%,,5,.7%,6,.8%,753,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=15&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,DPDS,BCBIC MTC YDC,31 26 12,2 . .,,33 26 12,28 18 10,84.8% 69.2% 83.3%,5 8 1,15.2% 30.8% 8.3%,. . .,. . .,,. . 1 8.3%,. .,. . .,. . .,33 26 12,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=16&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,TOTAL,69,2,,71,56,78.9%,14,19.7%,.,.,,1 1.4%,,.,.,71,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=17&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,OTHER,CHDU,413,28,,441,355,80.5%,80,18.1%,1,.2%,,1,.2%,4,.9%,441,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=18&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,,THRESH,5,.,,5,4,80.0%,1,20.0%,.,.,,.,.,.,.,5,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=19&page=0
Inmate Characteristics Report FY 2020 Q4.pdf,GRAND TOTAL,TOTAL,418 16058,28 594,16652,446,359 12027,80.5% 72.2%,81 4364,18.2% 26.2%,1 44,.2% .3%,67,1,.2% .4%,4 150,.9% .9%,446 16652,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=eeade73a0fd7a65e_3abff4f8a2b47ed6&schid=8018&row=20&page=0
Inmate Characteristics Report FY 2021 Q1.pdf,WEST,MCIH MCTC,,742 2543,. .,742 2543,431 1722,58.1% 67.7%,284 786,38.3% 30.9%,1 6,.1% .2%,5 14,.7% .6%,21 15,2.8% .6%,742 2543,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=54df85206db1f256_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2021 Q1.pdf,,NBCI,,1169,.,1169,941,80.5%,219,18.7%,3,.3%,3,.3%,3,.3%,1169,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=54df85206db1f256_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2021 Q1.pdf,,RCI,,1621,.,1621,1204,74.3%,389,24.0%,6,.4%,5,.3%,17,1.0%,1621,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=54df85206db1f256_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2021 Q1.pdf,,WCI,,1600,.,1600,1180,73.8%,394,24.6%,2,.1%,8,.5%,16,1.0%,1600,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=54df85206db1f256_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2021 Q1.pdf,,TOTAL,,7675,.,7675,5478,71.4%,2072,27.0%,18,.2%,35,.5%,72,.9%,7675,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=54df85206db1f256_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2021 Q1.pdf,EAST,BCCC,,202,.,202,168,83.2%,33,16.3%,.,.,1,.5%,.,.,202,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=54df85206db1f256_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2021 Q1.pdf,,CMCF,,277,.,277,189,68.2%,82,29.6%,2,.7%,3,1.1%,1,.4%,277,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=54df85206db1f256_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2021 Q1.pdf,,DRCF,,626,.,626,491,78.4%,131,20.9%,.,.,2,.3%,2,.3%,626,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=54df85206db1f256_3abff4f8a2b47ed6&schid=8018&row=7&page=0
